year,coal,gas,nuclear,hydro,wind,solar,other
2001,1903956,648169,768826,208138,6737,543,200275
2002,1933130,702468,780064,255586,10354,555,176295
2003,1973737,665508,763733,267271,11187,1068,200681
2004,1978301,725352,788528,259929,14144,1150,203151
2005,2012873,774424,781986,263763,17811,1101,203465
2006,1990511,830618,787219,282689,26589,1015,146061
2007,2016456,910043,806425,240614,34450,1224,147533
2008,1985801,894687,806208,248543,55363,1729,127057
2009,1755904,931611,798855,268818,73886,1782,119475
2010,1847290,999010,806968,254702,94652,2424,120014
2011,1733430,1025255,790204,312934,120177,3635,114506
2012,1514043,1237792,769331,271290,140822,8653,105834
2013,1581115,1137688,789016,263884,167840,18071,108350
2014,1581710,1138631,797166,253193,181655,28924,112259
2015,1352398,1346599,797178,243989,190719,39032,107613
2016,1239149,1391114,805694,261126,226993,54866,97668
2017,1205835,1308911,804950,293838,254303,77277,89069
2018,1149487,1482595,807084,286619,272667,93365,86460
2019,964957,1598405,809409,282613,295882,106894,69695
2020,773393,1635985,789879,279953,337938,130721,59266
2021,897999,1590587,779645,246473,378197,164422,52376
2022,831512,1698787,771537,248761,434297,205074,40700
2023,675115,1817841,774873,239012,421141,238937,16351
2024,652156,1880747,781865,237044,451904,303752,1166
